Track Name,Album Name,Release Time,Artist Name,Available Markets Count,Duration,Explicit,Popularity,Track ID,Is Local,Streams,Category
Cruel Summer,Lover,2019,Taylor Swift,184,178426,False,97,1BxfuPKGuaTgP7aM0Bbdwr,False,1888829670,top
Blank Space,1989,2014,Taylor Swift,2,231826,False,74,1p80LdxRV74UKvL8gnD7ky,False,1753533364,top
Anti-Hero,Midnights,2022,Taylor Swift,183,200690,False,89,0V3wPSX9ygBnCm8psDIegu,False,1457757627,top
Shake It Off,1989,2014,Taylor Swift,2,219200,False,73,5xTtaWoae3wi06K5WfVUUH,False,1348490001,top
Lover,Lover,2019,Taylor Swift,184,221306,False,90,1dGr1c8CrMLDpV6mPbImSI,False,1295965018,top
cardigan,folklore,2020,Taylor Swift,184,239560,False,89,4R2kfaDFhslZEMJqAFNpdd,False,1201056288,top
Style,1989,2014,Taylor Swift,2,231000,False,72,4lIxdJw6W3Fg4vUIYCB0S5,False,1100072726,top
Look What You Made Me Do,reputation,2017,Taylor Swift,184,211853,False,85,1P17dC1amhFzptugyAO7Il,False,1032961973,top
Don’t Blame Me,reputation,2017,Taylor Swift,184,236413,False,88,1R0a2iXumgCiFb7HEZ7gUE,False,1003882364,top
Untouchable (Taylor’s Version),Fearless (Taylor's Version),2021,Taylor Swift,184,312107,False,67,0tQ9vBYpldCuikPsbgOVKA,False,22408747,bottom
Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),2021,Taylor Swift,184,237338,False,64,1n2wszmJyVkw6FHqyLnQsY,False,16561250,bottom
The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),2021,Taylor Swift,184,238443,False,68,1cSFlSBdpT4F5vb1frQ231,False,14795007,bottom
Superstar (Taylor’s Version),Fearless (Taylor's Version),2021,Taylor Swift,184,263865,False,63,51A8eKvvZz9uydvIZ7xRSV,False,13652015,bottom
Ronan (Taylor's Version),Red (Taylor's Version),2021,Taylor Swift,184,264253,False,63,7nWui6jiMM2m9qFmET1Mtj,False,6585600,bottom
